501.6,220.18,1.259654445,684.78,390.82,1.26161196
153.43,166.67,1.107350648,347.08,364.7,1.14043278
17.49,139.19,1.047884933,313.01,249.87,1.12820721
46.26,201.48,1.060470108,132.73,271.26,1.063516116
96.47,225.1,1.082434015,335.81,308.36,1.136388689
39.94,192.13,1.057705481,218.74,349.22,1.094379667
95.73,148.82,1.082110309,374.63,259.18,1.150318733
328.19,213.55,1.183797819,743.77,388.86,1.282779742
-23.13,138.98,1.030116084,95.95,213.05,1.050318099
-13.76,143.98,1.034214905,195.56,331.87,1.086061831
18.88,129.58,1.048492976,182.13,184.33,1.081242653
-41.66,102.43,1.022010304,95.52,178.54,1.050163799
318.21,206.28,1.179432159,518.88,357.81,1.202080938
151.36,162.79,1.106445146,357.75,261.04,1.144261568
63.71,196.81,1.068103451,193.4,227.4,1.085286743
641.55,202.38,1.320874298,1005.27,468.08,1.37661556
512.53,255.33,1.264435674,822.63,605.23,1.31107761
337.29,223.38,1.187778531,475.1,681.11,1.186371064
392.63,367.32,1.21198651,598.94,526.69,1.230809411
64.3,205.64,1.068361541,316.04,385.07,1.129294486
238.67,242.26,1.14463811,638.15,501.5,1.244879401
317.56,145.52,1.179147822,628.89,286.62,1.241556573
247.92,250.61,1.148684439,456.21,437.67,1.179592637
281.95,123.11,1.163570552,490.47,524.91,1.191886385
-150.41,111.8,0.974438607,57.07,190.32,1.036366525
-88.41,111.5,1.001559942,91.48,220.93,1.048714098
-132.82,95.63,0.982133192,9.27,173.76,1.019214127
453.33,193.83,1.238539173,641.73,349.1,1.246164037
-13.77,287.36,1.034210531,341.42,589.06,1.138401763
24.46,173.41,1.050933896,194.79,385.31,1.085785526
-32.21,144.65,1.026144121,59.26,204.83,1.037152377
-8.75,141.15,1.036406484,114.2,327.44,1.05686687
-60.49,99.34,1.013773292,77.24,172.74,1.043604263
227.07,259.85,1.139563796,500.13,390.42,1.195352749
424.69,269.31,1.226010865,696.47,499.16,1.265806762
54.03,164.14,1.063869023,235.84,374.11,1.100515776
67.27,231.13,1.069660741,296.06,370.09,1.122124927
42.73,226.64,1.058925941,126.12,299.26,1.061144205
-54.96,109.44,1.01619234,-0.74,172.68,1.015622171
72.69,155.49,1.072031671,138.35,191.85,1.065532778
36.08,220.46,1.056016959,197.04,346.1,1.086592909
NA,NA,NA,NA,NA,NA
-34.05,253.74,1.025339229,13.4,199.85,1.020696123
-43.13,345.81,1.021367266,313.99,637.18,1.12855887
-117.35,127.28,0.988900403,-34.09,151.82,1.003654964
